0: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
2: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
3: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
4: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
5: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
6: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
7: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
8: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
9: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
10: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
11: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
12: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
13: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
14: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
15: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
16: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
17: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
